protocol_id,protocol_name,dataset,dataset_type,source_path,model_version,training_scope,threshold_current,threshold_oracle,n_samples,n_normal,n_spam,current_accuracy,current_precision_spam,current_recall_spam,current_f1_spam,current_false_positive,current_false_negative,oracle_accuracy,oracle_precision_spam,oracle_recall_spam,oracle_f1_spam,oracle_false_positive,oracle_false_negative,oracle_f1_gain,oracle_recall_gain,roc_auc,pr_auc,recall_at_precision_90,recall_at_precision_95,score_mean_normal,score_mean_spam,score_gap_spam_minus_normal,score_p95_normal,score_p05_spam,diagnosis,encoder
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_main,main_only,0.75,0.75,6000,5396,604,0.9923333333333333,0.9619205298013245,0.9619205298013245,0.9619205298013245,23.0,23.0,0.9923333333333333,0.9619205298013245,0.9619205298013245,0.9619205298013245,23.0,23.0,0.0,0.0,0.998169787284179,0.9899528894721582,0.9784768211920529,0.9668874172185431,0.04479159098443002,0.9503239866952451,0.9055323957108151,0.21787987065813255,0.7729591816527557,healthy under current threshold,BAAI/bge-small-zh-v1.5
A,In-domain main holdout,main_holdout,binary,data/processed/spam_message_20k.tsv,v8_semantic_multisource,main_plus_external_adapt,0.65,0.8,6000,5396,604,0.9716666666666667,0.8013888888888889,0.9552980132450332,0.8716012084592145,143.0,27.0,0.9766666666666667,0.8766233766233766,0.8940397350993378,0.8852459016393442,76.0,64.0,0.01364469318012973,-0.0612582781456954,0.9931363187840883,0.9531321995631641,0.8509933774834437,0.7483443708609272,0.08739925121016782,0.915109306462489,0.8277100552523212,0.4550586241649324,0.6721121789272542,mixed issue: try encoder comparison plus calibration,BAAI/bge-small-zh-v1.5
B,Zero-shot cross-domain,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_main,main_only,0.75,0.1,7000,3500,3500,0.6448571428571429,0.9875,0.2934285714285714,0.4524229074889868,13.0,2473.0,0.911,0.9026028547439127,0.9214285714285714,0.911918563551534,348.0,275.0,0.4594956560625472,0.6279999999999999,0.9637791020408164,0.9627171447899266,0.9228571428571428,0.8437142857142857,0.04102986422947875,0.5493362548735808,0.5083063906441021,0.19585827816039678,0.05313474185024503,calibration issue: score ranking is useful but threshold is too conservative,BAAI/bge-small-zh-v1.5
C,Few-shot domain adaptation,fbs_mixed_holdout,binary,data/processed/fbs_mixed_eval.tsv,v8_semantic_multisource,main_plus_external_adapt,0.65,0.55,7000,3500,3500,0.9708571428571429,0.9771279675738275,0.9642857142857143,0.9706643658326143,79.0,125.0,0.971,0.9681908548707754,0.974,0.9710867397806581,112.0,91.0,0.00042237394804378603,0.009714285714285675,0.994062448979592,0.9941274080654213,0.9894285714285714,0.9805714285714285,0.08688547992252746,0.9369304942761365,0.850045014353609,0.4377341352356582,0.7245484895347577,healthy under current threshold,BAAI/bge-small-zh-v1.5
B,Zero-shot cross-domain,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_main,main_only,0.75,0.0,6959,3471,3488,0.49877856013795085,0.5,0.0031536697247706424,0.0062678062678062675,11.0,3477.0,0.5012214398620491,0.5012214398620491,1.0,0.6677515076098401,3471.0,0.0,0.6614837013420338,0.9968463302752294,0.5076558737666484,0.4949877888738203,0.0005733944954128441,0.0005733944954128441,0.07655355360976937,0.07034164782434893,-0.006211905785420441,0.33161428522412323,0.003568526785666371,representation/domain mismatch: oracle threshold is degenerate; calibration alone is insufficient,BAAI/bge-small-zh-v1.5
C,Few-shot domain adaptation,hf_chinese_spam_10000_holdout,binary,data/processed/hf_chinese_spam_10000.tsv,v8_semantic_multisource,main_plus_external_adapt,0.65,0.55,6959,3471,3488,0.8525650237103032,0.8851689612015019,0.8110665137614679,0.8464991023339318,367.0,659.0,0.849978445178905,0.8489434608794975,0.8523509174311926,0.8506437768240344,529.0,515.0,0.0041446744901025845,0.041284403669724745,0.9196884688731535,0.9249558848758535,0.7895642201834863,0.676605504587156,0.2554643545595466,0.7993348753404181,0.5438705207808716,0.7754832281894322,0.19923211739402555,mixed issue: try encoder comparison plus calibration,BAAI/bge-small-zh-v1.5
B,Zero-shot cross-domain,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_main,main_only,0.75,0.2,5412,3258,2154,0.753880266075388,0.9801401869158879,0.3895078922934076,0.5574750830564784,17.0,1315.0,0.8344419807834442,0.8317510548523207,0.7321262766945218,0.7787654320987655,319.0,577.0,0.22129034904228706,0.3426183844011142,0.8998583160485467,0.8836837860907293,0.6499535747446611,0.552924791086351,0.07298882345487555,0.5351057045813666,0.4621168811264911,0.31341612205164177,0.024736462810074925,calibration issue: score ranking is useful but threshold is too conservative,BAAI/bge-small-zh-v1.5
C,Few-shot domain adaptation,hf_chinese_conversation_spam_holdout,binary,data/processed/hf_chinese_conversation_and_spam.tsv,v8_semantic_multisource,main_plus_external_adapt,0.65,0.65,5412,3258,2154,0.9199926090169993,0.8970927549607752,0.9025069637883009,0.8997917148808147,223.0,210.0,0.9199926090169993,0.8970927549607752,0.9025069637883009,0.8997917148808147,223.0,210.0,0.0,0.0,0.9742665436639644,0.9658249385323436,0.8974001857010213,0.8189415041782729,0.1760642909753848,0.8904499322835235,0.7143856413081388,0.7387600653777282,0.4532232791750654,mixed issue: try encoder comparison plus calibration,BAAI/bge-small-zh-v1.5
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_main,main_only,0.75,0.75,131,0,131,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,0.9734527586267768,,,0.8855933187513481,spam-only challenge: use as threshold sensitivity check,BAAI/bge-small-zh-v1.5
D,Adversarial robustness,adversarial,spam_only,data/processed/adversarial_eval.tsv,v8_semantic_multisource,main_plus_external_adapt,0.65,0.45,131,0,131,0.9923664122137404,1.0,0.9923664122137404,0.9961685823754789,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.003831417624521105,0.007633587786259555,,,,,,0.9483870173498934,,,0.7830264734998594,spam-only challenge: use as threshold sensitivity check,BAAI/bge-small-zh-v1.5
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v8_semantic_main,main_only,0.75,0.0,270,0,270,0.04814814814814815,1.0,0.04814814814814815,0.09187279151943463,0.0,257.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9081272084805654,0.9518518518518518,,,,,,0.2583581971353552,,,0.0221004307758669,spam-only challenge: use as threshold sensitivity check,BAAI/bge-small-zh-v1.5
D,Adversarial robustness,keyword_challenge,spam_only,data/processed/keyword_challenge.tsv,v8_semantic_multisource,main_plus_external_adapt,0.65,0.0,270,0,270,0.5888888888888889,1.0,0.5888888888888889,0.7412587412587412,0.0,111.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25874125874125875,0.4111111111111111,,,,,,0.6716896398050926,,,0.24394203840044107,spam-only challenge: use as threshold sensitivity check,BAAI/bge-small-zh-v1.5
