scope,term,spam_df,normal_df,hard_df,score
main_fit,优惠,171,1,21,563.1078502128228
main_fit,您好,147,2,36,382.42862222465897
main_fit,尊敬,64,0,8,347.52721473301966
main_fit,尊敬的,64,0,8,347.52721473301966
main_fit,敬的,64,0,8,347.52721473301966
main_fit,x折,144,2,23,326.2257066886741
main_fit,新老,52,0,11,311.9162312519754
main_fit,三八,80,1,24,300.1804425851602
main_fit,女节,42,0,10,250.12839055378367
main_fit,送xx,48,0,6,244.44732429918074
main_fit,"好,我是",39,0,11,243.7731892289082
main_fit,满x,76,1,15,241.91568887212367
main_fit,妇女节,40,0,10,239.84136359618387
main_fit,元宵,73,1,15,233.40909122607127
main_fit,满xx,73,1,14,228.34417753838855
main_fit,询x,30,0,13,215.6988091333409
main_fit,询xx,30,0,13,215.6988091333409
main_fit,询xxx,30,0,13,215.6988091333409
main_fit,满xxx,68,1,14,214.31376947813501
main_fit,八节,36,0,9,210.57527680690023
main_fit,致电,55,1,20,207.8752003337439
main_fit,好消,30,0,12,206.86600636314594
main_fit,好消息,30,0,12,206.86600636314594
main_fit,女人节,44,0,4,206.2664757998632
main_fit,谢您,34,0,9,200.56205059766782
main_fit,感谢您,32,0,9,190.6211505324518
main_fit,三八节,33,0,8,186.88348091416842
main_fit,送xxx,38,0,5,185.42529206199478
main_fit,祝您,64,1,10,183.49324482529317
main_fit,三月,37,0,5,180.537605553291
main_fit,抢购,33,0,7,178.25145920180677
main_fit,送x,62,1,10,178.05406680765822
main_fit,惠活,38,0,4,176.77640543759742
main_fit,惠活动,38,0,4,176.77640543759742
main_fit,详询,33,0,6,169.68845488924106
main_fit,光临,55,1,12,168.78030820704427
main_fit,的光临,34,0,5,165.99957543512713
main_fit,老顾,33,0,5,161.19671242970443
main_fit,老顾客,33,0,5,161.19671242970443
main_fit,即日,31,0,6,160.05379102796098
main_fit,您的光,32,0,5,156.4162048682346
main_fit,即日起,30,0,6,155.26947024370165
main_fit,x.x折,59,1,6,150.8275707129513
main_fit,全场,91,3,18,150.41537170535733
main_fit,春季,25,0,8,148.10714203387877
main_fit,您的光临,30,0,5,146.9242764767005
main_fit,"xx元,",50,1,10,145.93602217815254
main_fit,新老顾,28,0,5,137.5280604600303
main_fit,新老顾客,28,0,5,137.5280604600303
main_fit,可享受,26,0,6,136.36379489719272
main_fit,优惠活,31,0,3,135.10322633659771
main_fit,优惠活动,31,0,3,135.10322633659771
main_fit,新年,47,1,9,133.42069183854017
main_fit,你好,72,3,22,133.2008990793158
main_fit,"您好,我",25,0,6,131.69796430638962
main_fit,线:xx,26,0,5,128.2322284035899
main_fit,至x月,26,0,5,128.2322284035899
main_fit,元宵节,44,1,9,125.65299746677465
main_fit,宵节,44,1,9,125.65299746677465
main_fit,迎您,44,1,9,125.65299746677465
main_fit,热线:x,25,0,5,123.62353936146526
main_fit,至x月x,25,0,5,123.62353936146526
main_fit,欢迎您,43,1,9,123.07904932011579
main_fit,咨询x,16,0,10,121.94596404216017
main_fit,咨询xx,16,0,10,121.94596404216017
main_fit,.com,17,0,9,118.65012717615585
main_fit,新年好,22,0,6,117.8553540495266
main_fit,全场x,39,1,10,117.36069016284438
main_fit,人节,47,1,5,115.13846549301154
main_fit,农行,16,0,9,114.03337883075187
main_fit,话x,42,1,7,111.49265565470216
main_fit,话xx,42,1,7,111.49265565470216
main_fit,话xxx,42,1,7,111.49265565470216
main_fit,我公,22,0,5,109.96274883578172
main_fit,我公司,22,0,5,109.96274883578172
main_fit,您的,94,5,20,106.76097288817313
main_fit,电话x,40,1,7,106.45802779996701
main_fit,电话xx,40,1,7,106.45802779996701
main_fit,xx送x,21,0,5,105.46677971213853
main_fit,x送x,21,0,5,105.46677971213853
main_train,优惠,219,1,27,754.7862021180329
main_train,您好,179,2,45,487.44903619839783
main_train,x折,189,2,27,437.56498475462405
main_train,尊敬,74,0,11,432.0716877365902
main_train,尊敬的,74,0,11,432.0716877365902
main_train,敬的,74,0,11,432.0716877365902
main_train,新老,68,0,13,418.6383284901041
main_train,三八,114,1,26,413.22145084657706
main_train,"好,我是",54,0,16,370.85314930259443
main_train,女节,61,0,11,360.39859305646485
main_train,妇女节,59,0,11,349.5397499173879
main_train,送xx,59,0,7,311.14725383493146
main_train,满x,96,1,15,299.6246783272385
main_train,好消,42,0,15,296.4123397698886
main_train,好消息,42,0,15,296.4123397698886
main_train,八节,49,0,11,295.98291822047844
main_train,女人节,59,0,5,292.2071088926946
main_train,满xx,92,1,14,282.7061444849453
main_train,致电,67,1,26,272.5976869362002
main_train,谢您,39,0,14,271.25091516637065
main_train,元宵,84,1,16,269.9845502352137
main_train,满xxx,85,1,13,257.32671160753705
main_train,三八节,45,0,9,256.46932385487816
main_train,感谢您,36,0,14,255.56866612708117
main_train,询x,35,0,14,250.36947234740134
main_train,询xx,35,0,14,250.36947234740134
main_train,询xxx,35,0,14,250.36947234740134
main_train,抢购,42,0,10,250.12839055378367
main_train,惠活,49,0,6,249.57180482557928
main_train,送x,79,1,13,240.2277731371226
main_train,光临,76,1,14,236.82012409213462
main_train,惠活动,48,0,5,235.3500587472922
main_train,的光临,48,0,5,235.3500587472922
main_train,送xxx,47,0,5,230.27693098602307
main_train,x.x折,83,1,7,221.03211581932564
main_train,春季,32,0,12,216.97976191690822
main_train,祝您,76,1,10,216.5965437547473
main_train,老顾,43,0,5,210.15829609797382
main_train,老顾客,43,0,5,210.15829609797382
main_train,全场,123,3,21,206.53445031045382
main_train,三月,44,0,4,206.2664757998632
main_train,您的光,42,0,5,205.17365357811823
main_train,详询,40,0,6,204.0578228906331
main_train,"xx元,",66,1,13,203.76423851233548
main_train,新年,67,1,11,196.62515336101598
main_train,您的光临,40,0,5,195.26071122094385
main_train,即日,34,0,8,191.8212059003717
main_train,新年好,34,0,8,191.8212059003717
main_train,即日起,33,0,8,186.88348091416842
main_train,"您好,我",33,0,7,178.25145920180677
main_train,优惠活,40,0,3,177.85691279415826
main_train,优惠活动,40,0,3,177.85691279415826
main_train,可享受,34,0,6,174.53788713510247
main_train,新老顾,35,0,5,170.82431506839816
main_train,新老顾客,35,0,5,170.82431506839816
main_train,你好,90,3,26,170.24771816901978
main_train,线:xx,33,0,6,169.68845488924106
main_train,全场x,53,1,13,168.18770477563862
main_train,到店,34,0,5,165.99957543512713
main_train,至x月,34,0,5,165.99957543512713
main_train,热线:x,32,0,6,164.86027407583407
main_train,迎您,51,1,13,162.80110352592985
main_train,至x月x,33,0,5,161.19671242970443
main_train,欢迎您,50,1,13,160.11699870934734
main_train,无抵,24,0,10,159.99066276702362
main_train,无抵押,24,0,10,159.99066276702362
main_train,话x,53,1,11,158.6267162560342
main_train,话xx,53,1,11,158.6267162560342
main_train,话xxx,53,1,11,158.6267162560342
main_train,x送x,27,0,8,157.67483329206883
main_train,老客,30,0,6,155.26947024370165
main_train,老客户,30,0,6,155.26947024370165
main_train,电话x,51,1,11,153.2959848764867
main_train,电话xx,51,1,11,153.2959848764867
main_train,八妇,31,0,5,151.65855233105742
main_train,八妇女,31,0,5,151.65855233105742
main_train,八妇女节,31,0,5,151.65855233105742
main_train,元宵节,53,1,9,149.15285015009516
main_train,宵节,53,1,9,149.15285015009516
main_train,新春,32,0,3,139.75723859978828
multisource_fit,lace,486,0,66,3909.2066029423254
multisource_fit,plac,486,0,66,3909.2066029423254
multisource_fit,dig,675,1,69,2691.647376880481
multisource_fit,digi,675,1,69,2691.647376880481
multisource_fit,igit,675,1,69,2691.647376880481
multisource_fit,尊敬,299,0,47,2304.6339632990625
multisource_fit,尊敬的,294,0,46,2256.938518708721
multisource_fit,敬的,294,0,46,2256.938518708721
multisource_fit,退订,303,0,21,2001.203513086089
multisource_fit,git元,297,0,21,1960.164974946847
multisource_fit,it元,297,0,21,1960.164974946847
multisource_fit,t元,297,0,21,1960.164974946847
multisource_fit,igi,675,2,69,1794.4315845869871
multisource_fit,url,649,3,108,1435.5429529915734
multisource_fit,git,675,3,69,1345.8236884402404
multisource_fit,t.me,183,0,33,1344.9743383851148
multisource_fit,http,182,0,32,1326.5475929475326
multisource_fit,lac,487,2,67,1310.132722250094
multisource_fit,tps,178,0,32,1300.5015264346841
multisource_fit,tps:,178,0,32,1300.5015264346841
multisource_fit,ttps,178,0,32,1300.5015264346841
multisource_fit,name,598,3,83,1247.911922062562
multisource_fit,ellp,144,0,40,1174.580060642623
multisource_fit,llp,144,0,40,1174.580060642623
multisource_fit,llph,144,0,40,1174.580060642623
multisource_fit,lph,144,0,40,1174.580060642623
multisource_fit,lpho,144,0,40,1174.580060642623
multisource_fit,户您,153,0,35,1174.1513313733599
multisource_fit,优惠,287,1,36,1040.5338328426192
multisource_fit,回t,156,0,11,917.1895523131833
multisource_fit,失效,97,0,41,888.2053079635244
multisource_fit,用户您,115,0,27,843.6835871441842
multisource_fit,nam,598,6,83,713.0925268928927
multisource_fit,您好,252,2,54,689.1306789596593
multisource_fit,htt,183,1,33,672.4871691925574
multisource_fit,ttp,182,1,32,663.2737964737663
multisource_fit,户您的,87,0,26,663.0677827752294
multisource_fit,d退,121,0,7,660.9344869931874
multisource_fit,td退,121,0,7,660.9344869931874
multisource_fit,d退订,119,0,7,649.1210695854512
multisource_fit,td退订,119,0,7,649.1210695854512
multisource_fit,enam,104,0,11,603.7059542705083
multisource_fit,ta6,57,0,37,601.1117496912714
multisource_fit,cell,144,1,40,587.2900303213115
multisource_fit,td,198,1,10,584.9856005901468
multisource_fit,详询,91,0,16,580.5842721634033
multisource_fit,订回,102,0,8,560.4340939561678
multisource_fit,退订回,101,0,8,554.6566831635051
multisource_fit,逾期,75,0,21,539.8158954633992
multisource_fit,积分,151,1,27,534.3007380015978
multisource_fit,fta,51,0,33,524.2328482658573
multisource_fit,fta6,51,0,33,524.2328482658573
multisource_fit,满d,93,0,9,519.0896466817192
multisource_fit,满di,93,0,9,519.0896466817192
multisource_fit,满dig,93,0,9,519.0896466817192
multisource_fit,用户您的,70,0,21,510.9621092065416
multisource_fit,请登,70,0,21,510.9621092065416
multisource_fit,行用,69,0,21,505.21626472988714
multisource_fit,行用户,69,0,21,505.21626472988714
multisource_fit,回td,97,0,5,500.55073072880066
multisource_fit,月日,89,0,9,496.2729438145357
multisource_fit,给您,66,0,21,488.0297127781246
multisource_fit,可兑,69,0,19,484.7727279310711
multisource_fit,a67,49,0,30,482.02292981412694
multisource_fit,ta67,48,0,30,476.26981591890535
multisource_fit,已满,68,0,18,468.9203524587313
multisource_fit,行用户您,66,0,19,467.7064661066183
multisource_fit,可兑换,67,0,17,453.1504281620123
multisource_fit,回td退,86,0,5,438.61349197375694
multisource_fit,接回,86,0,5,438.61349197375694
multisource_fit,lp,158,2,43,433.50852862109843
multisource_fit,金请,59,0,17,408.3177096542463
multisource_fit,即可,135,1,13,405.3196507815822
multisource_fit,l查,59,0,16,398.42746730634246
multisource_fit,rl查,59,0,16,398.42746730634246
multisource_fit,url查,59,0,16,398.42746730634246
multisource_fit,回u,82,0,3,396.43690936656213
multisource_fit,期失,49,0,21,392.166548687801
multisource_fit,现金请,56,0,17,391.6699234815795
multisource_fit,请谅,59,0,15,388.5739302182679
multisource_train,lace,597,0,74,4856.65272203027
multisource_train,plac,597,0,74,4856.65272203027
multisource_train,dig,841,1,81,3427.4698757204314
multisource_train,digi,841,1,81,3427.4698757204314
multisource_train,igit,841,1,81,3427.4698757204314
multisource_train,尊敬,376,0,65,3088.2941102133927
multisource_train,尊敬的,370,0,64,3031.5976695132535
multisource_train,敬的,370,0,64,3031.5976695132535
multisource_train,退订,379,0,26,2594.7445649479487
multisource_train,t元,371,0,22,2486.1619782679404
multisource_train,git元,370,0,22,2479.130988925743
multisource_train,it元,370,0,22,2479.130988925743
multisource_train,git,841,3,81,1713.7349378602157
multisource_train,igi,841,3,81,1713.7349378602157
multisource_train,t.me,222,0,36,1639.2642782013636
multisource_train,lac,598,2,75,1626.1364510244393
multisource_train,http,221,0,35,1620.3302167894042
multisource_train,name,749,3,102,1609.2993866487918
multisource_train,户您,194,0,48,1598.4808800120995
multisource_train,tps,217,0,35,1593.616172753526
multisource_train,tps:,217,0,35,1593.616172753526
multisource_train,ttps,217,0,35,1593.616172753526
multisource_train,llp,178,0,53,1552.3201509248984
multisource_train,ellp,177,0,53,1545.6466297881893
multisource_train,llph,177,0,53,1545.6466297881893
multisource_train,lph,177,0,53,1545.6466297881893
multisource_train,lpho,177,0,53,1545.6466297881893
multisource_train,url,813,4,135,1486.2526275386324
multisource_train,优惠,373,1,43,1387.6098310137243
multisource_train,失效,130,0,53,1235.9397745533297
multisource_train,回t,199,0,13,1211.6520294503302
multisource_train,用户您,149,0,39,1195.1183194335986
multisource_train,nam,749,6,102,919.5996495135952
multisource_train,户您的,113,0,34,909.4926338250689
multisource_train,d退,152,0,7,847.5540271440491
multisource_train,td退,152,0,7,847.5540271440491
multisource_train,您好,299,2,60,824.0545644030218
multisource_train,d退订,148,0,7,823.1265291816745
multisource_train,td退订,148,0,7,823.1265291816745
multisource_train,htt,223,1,36,822.9808813902981
multisource_train,ttp,221,1,35,810.1651083947021
multisource_train,行用,99,0,31,789.7819663585865
multisource_train,行用户,99,0,31,789.7819663585865
multisource_train,cell,177,1,53,772.8233148940947
multisource_train,订回,131,0,11,764.2780730600257
multisource_train,enam,127,0,13,762.1090231182379
multisource_train,退订回,130,0,11,758.2415398129929
multisource_train,ta6,69,0,43,737.4724997191252
multisource_train,逾期,95,0,28,732.6827979719657
multisource_train,用户您的,93,0,29,731.4520220166074
multisource_train,行用户您,91,0,28,708.5487779317427
multisource_train,满d,118,0,10,675.5139242062723
multisource_train,满di,118,0,10,675.5139242062723
multisource_train,满dig,118,0,10,675.5139242062723
multisource_train,详询,106,0,16,668.893625396766
multisource_train,可兑,87,0,26,663.0677827752294
multisource_train,回td,124,0,5,657.1171508115036
multisource_train,请登,87,0,25,652.379518982303
multisource_train,fta,62,0,38,641.5017518409351
multisource_train,fta6,62,0,38,641.5017518409351
multisource_train,月日,108,0,11,627.161418304448
multisource_train,可兑换,84,0,24,623.949268336476
multisource_train,已满,84,0,24,623.949268336476
multisource_train,a67,59,0,34,581.5417321305605
multisource_train,ta67,58,0,34,575.6401356304635
multisource_train,l查,75,0,24,571.0411030625233
multisource_train,rl查,75,0,24,571.0411030625233
multisource_train,url查,75,0,24,571.0411030625233
multisource_train,金请,75,0,24,571.0411030625233
multisource_train,回td退,110,0,4,564.6469232752268
multisource_train,期失,65,0,28,554.2819634369405
multisource_train,现金请,72,0,24,553.5400283989093
multisource_train,接回,102,0,7,549.9562027977128
multisource_train,回u,102,0,6,539.5050064563515
multisource_train,期失效,64,0,27,538.0928406688358
multisource_train,建设银,66,0,25,529.0492635147377
multisource_train,建设银行,66,0,25,529.0492635147377
multisource_train,设银,66,0,25,529.0492635147377
multisource_train,设银行,66,0,25,529.0492635147377
multisource_train,分可兑,65,0,24,512.9783024176502
